Abuse people's confidences.,H1131
Accept apologies easily.,H133
Accept challenging tasks.,H515
Accept little from others.,H615
Accept others' weaknesses.,H139
Accept people as they are.,H106
Accept the consequences of my actions.,H266
Accept the first thing that comes along.,H1384
Accept what others say.,H962
Accomplish a lot of work.,H554
Accomplish my work on time.,H230
Acknowledge others' accomplishments.,H152
Acquire skills quickly.,H1338
Act according to my conscience.,H178
Act according to my own feelings.,H1367
Act as a leader.,Q176
Act as I please.,H795
Act as if I’m somebody else and completely identify myself with the part.,A18
Act as if I'm constantly on stage.,T17
Act as if some laws do not apply to me.,T19
Act at the expense of others.,H794
Act before thinking through the consequences.,V207
Act comfortably with others.,H41
Act contrary to reason.,H1370
Act impulsively when something is bothering me.,Q253
Act like different people in different situations.,P342
Act like people older than me.,Q27
Act like people younger than me.,Q182
Act or feel in a way that does not fit me.,A43
Act out my frustrations on others.,H758
Act properly in most situations.,Q53
Act quickly without thinking.,H866
Act spontaneously without thinking about the consequences.,A137
Act wild and crazy.,H871
Act with hesitation.,H1075
Act without consulting others.,H784
Act without planning.,H848
Act without thinking.,H846
Act without ulterior motives.,H156
Actually get cold when I think of something cold.,A25
Adapt easily to new situations.,H2000
Adjust easily.,H1070
Admire a really clever scam.,A108
"Admire people who own expensive homes, cars, or clothes",M25
Admit mistakes.,H148
Admit when I am wrong.,V20
Agree to anything.,H1419
Allow others to make a fresh start.,V149
Allow others to walk all over me.,T43
Always admit it when I make a mistake.,P454
Always know what I am doing.,P427
Always know why I do things.,P433
Always need to know who my partner is with.,T50
Always seem to be losing things.,T51
Am a bad loser.,H763
Am a bitter person.,T58
Am a brave person.,V341
Am a bully.,T59
Am a chronic liar.,T61
Am a cold-hearted person.,T63
Am a corrupt person.,T64
Am a cranky person.,T65
Am a creature of habit.,H1460
Am a domineering person.,T68
Am a firm believer in thinking things through.,V223
Am a flamboyant person.,T71
Am a generally obedient person.,T73
Am a 'glass is half empty' kind of person,T54
Am a goal-oriented person.,V108
Am a good judge of character.,E117
Am a good listener.,V95
Am a good loser.,H50
Am a guilty person.,T76
Am a hard person to read.,T77
Am a hard worker.,V161
Am a highly disciplined person.,V98
Am a jealous person.,T80
Am a large-sized person.,Q34
Am a law-abiding citizen.,T81
Am a lonely person.,T83
Am a manipulative person.,T84
Am a mean-spirited person.,T85
Am a money-grubber.,M57
Am a naturally good dancer.,Q196
Am a neat freak.,T55
Am a negative type of person.,T86
Am a 'people person.',T56
Am a perfectionist.,T88
Am a person whose moods go up and down easily.,R1
Am a pessimistic person.,T90
Am a physical coward.,R44
Am a rebel.,T92
Am a sadistic person.,T93
Am a seductive person.,T94
Am a shy person,S25
Am a small-sized person.,Q92
Am a spiritual person.,V46
Am a strange person.,T99
Am a submissive person.,T100
Am a true life-long learner.,V140
Am a very good scam artist.,T101
Am a very private person.,H589
Am a very reliable person.,T103
Am a vindictive person.,T104
"Am a workaholic, with little time for fun or pleasure.",V83
Am able to calm myself down quite quickly when upset.*,W316
Am able to come up with new and different ideas.,V5
Am able to control my cravings.,X251
Am able to cooperate with others.,H1165
Am able to describe my feelings easily.,A58
Am able to disregard rules.,D5
Am able to do most things well enough.,R80
"Am able to do what I should do, even when I feel scared.",W365
Am able to find out things by myself.,H1317
Am able to fit into any situation.,V80
Am able to fix electrical-wiring problems,M68
Am able to get other people to act in a certain way.,W219
Am able to get over it quickly when someone hurts my feelings*,W92
Am able to pick myself up when I'm down.,T110
Am able to read the minds of others.,T111
Am able to see how other peoples’ emotions can affect their behaviors.,W333
Am able to see the “big picture.”,W281
Am able to see the best in a situation.,H49
Am able to stand up for myself.,H1197
Am able to understand how other people see problems.,W283
Am able to work hard to achieve results that I will only get at a time far in the future.,W156
Am able to work hard to solve problems even when it takes a long time.,W155
Am afraid of being left alone.,V150
Am afraid of heights.,R38
Am afraid of large dogs.,R28
Am afraid of losing control of my anger.,V322
Am afraid of many things.,H968
Am afraid of more things than others are,S28
Am afraid that I will do the wrong thing.,H905
Am afraid that my life will be cut short by illness.,C18
Am afraid to draw attention to myself.,H655
Am afraid to reach out for love.,V112
Am always aware of how I am presenting myself.,P340
Am always busy with something interesting.,V67
Am always busy.,H58
Am always in the same mood.,H568
Am always joking.,Q21
Am always looking for a rush of excitement.,T129
Am always on the go.,"H54, X40"
Am always on time.,X76
Am always prepared.,X87
Am always ready to start afresh.,H440
Am always worried about something.,D96
Am always worried that my partner is going to leave me.,T137
Am an energetic person.,T140
Am an eternal pessimist.,T141
Am an extraordinary person.,P482
Am an extremely grateful person.,V175
Am an extremely loyal person.,V92
Am an honest person.,T144
Am an ordinary person with ordinary skills and abilities.,W250
Am an original thinker.,V226
Am angry or distressed when my partner pays more attention to someone else.,T147
Am annoyed by others' mistakes.,E82
Am apprehensive about new encounters.,H651
"Am approached often by people who want help, advice, or guidance with their problems.",W188
Am ashamed of myself.,T151
Am asked for advice by friends and family.,W279
Am asked for favors by my friends and family.,W207
Am attached to conventional ways.,H312
Am aware of how my feelings are affecting other people.,W331
Am aware of my feelings.,W332
Am basically a decent person.,R49
Am bothered by frequent aches and pains.,C2
Am calm even in tense situations.,E64
Am capable of working alone.,H406
Am careful to avoid making mistakes.,E16
Am careful to consider how things I do now will affect future outcomes.,W296
Am certain that I am being talked about.,T157
Am chubby.,Q123
Am comfortable in unfamiliar situations.,X197
Am committed to principles of justice and equality.,V202
Am concerned about others.,"H1100, X31"
Am considered a 'yes' person.,T161
Am considered attractive by others.,P425
Am considered by others to be weird.,T163
Am considered fun to be with.*,W138
Am considered short.,Q180
Am considered tall.,Q156
Am considered to be a wise person.,V339
Am considered to be kind of eccentric.,R35
Am considered well-off financially.,Q39
Am constantly reflecting about myself.,P395
Am content with my life.,V324
Am continually losing things.,E158
Am convinced my doctor is lying to me.,T171
Am convinced that I am dying.,T172
Am convinced that my way is the best way.,T173
Am curious about how various kinds of trees differ from each other,M51
Am deeply moved by others' misfortunes.,X253
Am dependent on others for things that I should be able to do myself.,V51
Am described as grumpy.,V32
Am described by friends and family as a disciplined person.*,W317
Am described by others as a good “team-player”*,W48
Am determined to finish a task when I start it.,T178
Am devoted to religion.,P479
Am different compared to most people.,T180
Am eager to soothe hurt feelings.,Q117
Am easily annoyed.,Q210
Am easily calmed down by others.,H997
Am easily confused.,H2001
Am easily controlled by others in my life.,T185
Am easily deterred.,H911
Am easily discouraged in difficult situations,S21
Am easily discouraged.,H647
Am easily disoriented.,T189
Am easily distracted when I'm trying to focus my attention.,D17
Am easily distracted.,"H843, F44, T192"
Am easily disturbed.,"H927, X213"
Am easily excited.,E19
Am easily frightened.,H945
Am easily frustrated.,T196
Am easily hurt.,H987
Am easily impressed.,H996
Am easily influenced.,Q225
Am easily intimidated.,"H991, X41"
Am easily moved to tears.,H992
Am easily offended.,H762
Am easily overpowered when decisions need to be made.,T202
Am easily put out.,H641
Am easily startled.,T204
Am easily talked into doing silly things.,E15
Am easy to fool.,H108
Am easy to persuade.,H1424
Am easy to satisfy.,H882
Am embarrassed by praise.,X53
Am embarrassed to have people see my home.,E162
Am emotionally reserved.,T209
Am entitled to the best.,T210
Am exacting in my work.,X163
Am excited by many different activities.,V151
Am excited to inflict pain on others.,T214
Am faithful to old friends.,E10
Am fascinated by how machines work,M38
Am fascinated by numbers,M71
Am filled with doubts about things.,H683
Am forceful in relationships with friends and family.,T218
Am free of prejudice.,Q205
Am full of ideas.,H53
Am generally a fearful person.,T219
Am generally fearful of bad things that could happen.,T220
Am good at analyzing problems.,H1207
Am good at getting people to do what I want.,Q90
Am good at helping people work well together.,V96
Am good at making excuses for my bad behavior.,T225
Am good at making impromptu speeches.,P364
Am good at making jokes.,W140
Am good at making people laugh.,W142
Am good at many things.,H1246
Am good at motivating myself to work hard.,W159
